country,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01
Afghanistan,0,5,161,1661,13353,16265,5183,1620,1106,1980,4881,6115,2693,691,740,3291,12093,46821,28495,6066,1832,1036,1172,799,4081,11255,4299,1179,1390,2167,3150,7670,5817,3926,2837,1724,925,843
Albania,0,0,212,538,349,1303,2703,4174,4112,6924,16475,20356,19204,28879,19190,6440,1438,216,486,11848,23935,15558,15215,9344,48183,14343,2104,1400,1152,3086,30111,18147,3558,800,433,522,485,265
Algeria,0,1,583,3264,5419,4304,16260,14315,7222,6283,24570,17090,7811,5838,4101,4805,6859,10504,30960,25385,7624,3160,3986,7693,32737,14081,807,117,98,196,1301,2898,402,164,244,135,159,64
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,1,7,66,3733,2005,323,360,1261,402,82,7,7,21,35,0
Andorra,0,0,376,368,20,91,67,202,842,2699,2047,1271,1902,964,1095,1254,495,207,778,354,177,307,1599,6007,12434,2443,2025,1325,1545,880,1734,519,200,308,289,927,88,36
Angola,0,0,4,23,57,192,833,1515,2281,5653,4545,2330,2349,1000,1400,4249,7935,4316,3964,4685,9252,7791,781,11632,21289,625,437,185,516,1481,1155,617,138,718,802,345,110,72
Anguilla,0,0,2,1,0,0,0,0,0,0,3,7,4,1,7,66,18,0,5,103,172,503,442,340,650,204,172,88,415,253,124,257,28,1,0,38,0,0
Antigua and Barbuda,0,0,7,17,1,40,26,3,7,26,14,17,60,508,410,88,36,3,40,410,1447,880,101,154,2263,879,54,135,493,506,148,176,149,8,0,0,0,0
Argentina,0,0,1516,4792,16098,57013,142759,241296,339191,409334,257432,204888,319233,189401,265418,649167,811082,659487,443138,246193,67688,34100,44472,376824,2672438,449982,125579,43709,158343,136599,193135,117918,30195,10455,8372,163892,145996,6990
Armenia,0,0,532,1534,7216,16260,13008,5231,6578,39454,45311,24285,7617,5032,20581,23425,6606,2425,5015,12025,19562,46629,30192,6412,22865,52037,2687,348,96,280,2122,9033,7988,2397,598,239,333,866
Aruba,0,0,50,50,1,0,18,1729,2024,600,319,582,1485,946,1490,1291,372,175,452,2881,983,434,442,2697,13697,937,311,727,1871,4154,1362,768,297,189,307,219,133,51
Australia,9,16,4334,2387,439,582,8536,9367,1393,519,311,488,425,159,331,483,319,464,3347,18685,50110,66533,39896,153425,1789613,674553,1440489,1435404,1535448,855885,1232694,691258,248105,136251,424886,220030,243823,89703
Austria,0,3,6097,6095,1201,1018,3242,6252,17096,57215,176975,77467,52901,43039,84226,73789,27907,6210,8305,28375,55074,84478,325109,122458,564180,833757,1161059,327488,115835,167987,330774,167753,181084,321519,119120,145790,75943,128709
Azerbaijan,0,1,189,1527,3272,11435,14797,4953,3887,13091,60873,102559,13351,4054,25487,58437,15951,2097,7255,77887,62025,45981,57531,29712,39932,129017,6575,682,201,465,5180,14412,8495,1936,1041,2023,1598,606
Bahamas,0,0,14,66,21,3,380,1651,1768,2741,859,354,326,359,577,1270,1407,829,2052,3591,2716,1412,377,1703,8036,617,149,263,1172,1231,772,353,224,93,97,8,0,0
Bahrain,0,44,523,2354,7872,15446,14516,10819,18848,11044,5321,5638,10201,19152,21796,32178,62405,27486,3437,3373,2528,1813,834,3778,87361,143539,41444,14617,16715,39187,34955,12260,8428,9908,6378,416,0,0
Bangladesh,0,0,51,7616,39486,98330,92178,75335,50483,44205,57248,48578,21629,11077,65079,147837,41408,112718,336226,251134,55293,13628,6745,9255,213294,144744,8000,1114,790,20304,31472,6689,13251,10043,1345,540,431,273
Barbados,0,0,33,47,12,5,13,63,17,46,39,97,1126,1496,640,204,174,67,286,566,3050,9484,7573,3272,15171,11550,3831,10483,10979,3651,7618,9232,1691,908,992,1099,642,488
Belarus,0,1,151,13029,28477,20132,6018,3879,6573,19239,37509,57353,54209,39389,34635,36639,36574,22468,28773,35316,55733,62035,55191,44277,43388,176480,43921,18520,2958,0,11170,0,0,0,0,0,0,0
Belgium,0,1,13557,35859,9437,2903,7198,16324,34258,309644,149562,66534,61201,59533,109374,108199,73519,20954,38167,57592,60682,133037,378687,350490,1054734,407234,286923,221571,89192,88595,182850,62124,60716,70268,23451,40533,14777,30165
