country,continent,total_vaccinations,total_vaccinations_per_people,population
Afghanistan,Asia,16474895,0.42,38928416
Albania,Europe,3070468,1.07,2877664
Algeria,Africa,15267442,0.35,43850539
American Samoa,Oceania,111316,2.02,55197
Andorra,Europe,156957,2.03,77281
Angola,Africa,24798317,0.75,32866348
Anguilla,Americas,24604,1.64,15002
Antigua and Barbuda,Americas,136512,1.39,97929
Argentina,Americas,109652736,2.43,45195817
Armenia,Asia,2153341,0.73,2961955
Aruba,Americas,216673,2.03,106766
Australia,Oceania,64862790,2.54,25499888
Austria,Europe,20391629,2.29,8900755
Azerbaijan,Asia,13812050,1.36,10141006
Bahamas,Americas,364701,0.93,393243
Bahrain,Asia,3476633,2.04,1701571
Bangladesh,Asia,357316472,2.17,164689290
Barbados,Americas,381662,1.33,287374
Belarus,Europe,19287182,2.04,9449869
Belgium,Europe,29115074,2.53,11521596
Belize,Americas,502306,1.26,397627
Benin,Africa,4232541,0.35,12123109
Bermuda,Americas,132042,2.12,62273
Bhutan,Asia,2011426,2.61,771607
Bolivia (Plurinational State of),Americas,15855985,1.36,11673061
Bonaire,Americas,43000,2.06,20915
"Bonaire, Sint Eustatius and Saba",Americas,35845,1.38,25987
Bosnia and Herzegovina,Europe,1924950,0.59,3279302
Botswana,Africa,3171667,1.35,2351630
Brazil,Americas,506003123,2.38,212559020
British Virgin Islands,Europe,41453,1.37,30237
Brunei Darussalam,Asia,1291223,2.95,437479
Bulgaria,Europe,4615074,0.66,6950413
Burkina Faso,Africa,6674010,0.32,20903314
Burundi,Africa,35772,0.00,11884385
Cabo Verde,Africa,859940,1.55,555987
Cambodia,Asia,46290154,2.77,16718973
Cameroon,Africa,4278883,0.16,26545586
Canada,Americas,93528723,2.48,37742110
Cayman Islands,Americas,151382,2.30,65720
Central African Republic,Africa,2535002,0.52,4829771
Chad,Africa,6393769,0.39,16425868
Chile,Americas,64934108,3.40,19116203
China,Asia,3465113661,2.36,1471285883
Colombia,Americas,90285644,1.77,50882925
Comoros,Africa,835021,0.96,869605
Congo,Africa,833210,0.15,5517947
Cook Islands,Oceania,39612,2.26,17564
Costa Rica,Americas,12884913,2.53,5094119
C̫te d�۪Ivoire,Africa,25263932,0.96,26378145
Croatia,Europe,5357755,1.32,4058905
Cuba,Americas,38031344,3.36,11326606
Cura̤ao,Americas,260324,1.59,164093
Cyprus,Europe,1858220,2.09,887826
Czechia,Europe,18608534,1.74,10694560
